model,sharpe,sortino,max_dd,calmar,ann_return,ic,hit_rate,turnover,n
lasso_fwd_return_5d_regime_agnostic__regime_sized,0.3557,0.2697,-0.7548,0.0626,0.0472,0.0179,0.5356,0.0021,6007
ridge_fwd_return_5d_regime_conditioned__regime_sized,0.3158,0.4326,-0.8532,0.0899,0.0767,0.0255,0.5214,0.2936,6107
lasso_fwd_return_5d_regime_agnostic__plain,0.2911,0.1983,-0.9109,0.0712,0.0648,0.0179,0.5356,0.001,6007
ridge_fwd_return_5d_regime_conditioned__plain,0.2614,0.3333,-0.9769,0.1006,0.0983,0.0255,0.5214,0.3616,6107
lgb_fwd_return_5d_regime_conditioned__regime_sized,0.1414,0.1868,-0.968,0.0326,0.0316,-0.0103,0.5246,0.174,6107
lasso_fwd_return_5d_regime_conditioned__regime_sized,0.019,0.021,-0.9661,0.004,0.0038,0.0192,0.5403,0.0222,6107
lgb_fwd_return_5d_regime_conditioned__plain,0.0033,0.004,-0.9958,0.0011,0.0011,-0.0103,0.5246,0.2256,6107
lasso_fwd_return_1d_regime_conditioned__regime_sized,-0.0636,-0.0302,-0.2378,-0.0116,-0.0028,-0.0097,0.516,0.0031,6111
tft_fwd_return_1d_regime_conditioned__plain,-0.121,-0.1378,-0.7588,-0.0261,-0.0198,0.0013,0.5008,0.3223,5780
lasso_fwd_return_1d_regime_conditioned__plain,-0.1332,-0.0551,-0.4394,-0.0252,-0.0111,-0.0097,0.516,0.0049,6111
tft_fwd_return_1d_regime_conditioned__regime_sized,-0.161,-0.1972,-0.6032,-0.0266,-0.016,0.0013,0.5008,0.2604,5780
lasso_fwd_return_5d_regime_conditioned__plain,-0.1625,-0.1589,-0.9954,-0.0493,-0.0491,0.0192,0.5403,0.0257,6107
lstm_fwd_return_1d_regime_agnostic__plain,-0.191,-0.193,-0.6075,-0.0471,-0.0286,-0.0087,0.5027,0.186,5780
lstm_fwd_return_5d_regime_conditioned__plain,-0.1951,-0.2366,-0.9987,-0.0704,-0.0703,-0.0184,0.5013,0.1672,5776
lgb_fwd_return_1d_regime_agnostic__plain,-0.202,-0.1369,-0.4928,-0.0347,-0.0171,0.0063,0.5111,0.1813,6011
ridge_fwd_return_5d_regime_agnostic__plain,-0.2145,-0.2659,-0.9938,-0.0783,-0.0778,-0.0553,0.5032,0.4074,6007
lstm_fwd_return_5d_regime_agnostic__plain,-0.2168,-0.2778,-0.9955,-0.0805,-0.0801,-0.0277,0.5029,0.3802,5776
lstm_fwd_return_5d_regime_conditioned__regime_sized,-0.2311,-0.3053,-0.9834,-0.0558,-0.0549,-0.0184,0.5013,0.1417,5776
lstm_fwd_return_1d_regime_agnostic__regime_sized,-0.2316,-0.2558,-0.4381,-0.0466,-0.0204,-0.0087,0.5027,0.1515,5780
ridge_fwd_return_5d_regime_agnostic__regime_sized,-0.2361,-0.3178,-0.9663,-0.0569,-0.055,-0.0553,0.5032,0.3263,6007
lstm_fwd_return_5d_regime_agnostic__regime_sized,-0.2521,-0.3541,-0.9716,-0.0636,-0.0618,-0.0277,0.5029,0.3183,5776
lgb_fwd_return_1d_regime_agnostic__regime_sized,-0.2561,-0.174,-0.3505,-0.0378,-0.0132,0.0063,0.5111,0.1294,6011
lstm_fwd_return_1d_regime_conditioned__plain,-0.3056,-0.3091,-0.8041,-0.0597,-0.048,-0.0082,0.4966,0.183,5780
tft_fwd_return_5d_regime_conditioned__regime_sized,-0.3486,-0.5,-0.9903,-0.0842,-0.0834,-0.0359,0.4916,0.3769,5776
tft_fwd_return_1d_regime_agnostic__regime_sized,-0.3509,-0.4182,-0.6708,-0.0501,-0.0336,0.0061,0.4875,0.3474,5780
lasso_fwd_return_1d_regime_agnostic__regime_sized,-0.3544,-0.0849,-0.1664,-0.0406,-0.0068,0.0275,0.5077,0.016,6011
lgb_fwd_return_5d_regime_agnostic__regime_sized,-0.3621,-0.3843,-0.9417,-0.0736,-0.0693,-0.0162,0.5037,0.1787,6007
tft_fwd_return_5d_regime_conditioned__plain,-0.3829,-0.5004,-0.999,-0.1382,-0.138,-0.0359,0.4916,0.4529,5776
lasso_fwd_return_1d_regime_agnostic__plain,-0.3864,-0.0897,-0.3513,-0.044,-0.0155,0.0275,0.5077,0.0289,6011
lgb_fwd_return_5d_regime_agnostic__plain,-0.3942,-0.39,-0.996,-0.1269,-0.1264,-0.0162,0.5037,0.2271,6007
lstm_fwd_return_1d_regime_conditioned__regime_sized,-0.4084,-0.4421,-0.6794,-0.0565,-0.0384,-0.0082,0.4966,0.1491,5780
tft_fwd_return_1d_regime_agnostic__plain,-0.4391,-0.4704,-0.8784,-0.0756,-0.0664,0.0061,0.4875,0.4254,5780
lgb_fwd_return_1d_regime_conditioned__plain,-0.4498,-0.3638,-0.8064,-0.0689,-0.0555,-0.003,0.5116,0.2982,6111
lgb_fwd_return_1d_regime_conditioned__regime_sized,-0.5124,-0.4379,-0.6403,-0.0573,-0.0367,-0.003,0.5116,0.2345,6111
ridge_fwd_return_1d_regime_conditioned__plain,-0.5797,-0.6372,-0.9462,-0.1036,-0.0981,0.0223,0.5105,0.422,6111
ridge_fwd_return_1d_regime_conditioned__regime_sized,-0.6165,-0.7148,-0.83,-0.0733,-0.0608,0.0223,0.5105,0.3312,6111
tft_fwd_return_5d_regime_agnostic__regime_sized,-0.7134,-0.9993,-0.9925,-0.1671,-0.1658,0.0202,0.4854,0.3768,5776
ridge_fwd_return_1d_regime_agnostic__plain,-0.7255,-0.7581,-0.9517,-0.119,-0.1133,0.0145,0.4923,0.4858,6011
tft_fwd_return_5d_regime_agnostic__plain,-0.7644,-0.9541,-0.9998,-0.2716,-0.2715,0.0202,0.4854,0.4555,5776
ridge_fwd_return_1d_regime_agnostic__regime_sized,-0.8685,-0.9534,-0.8619,-0.0901,-0.0777,0.0145,0.4923,0.3757,6011
