feature,importance_gain,importance_split
VIX_term_ratio,0.33938487399427686,154
T10Y2Y,0.29614939907868676,246
VIX,0.271179219559599,119
CPIAUCSL_diff,0.26465069209385206,233
sp500_realized_vol_21d,0.2618394028597564,135
sp500_bb_width,0.2559960429379089,157
sp500_macd_hist,0.1983035159848896,86
INDPRO_diff,0.19324226175315395,212
DFF_diff,0.19037945666650558,102
UNRATE_diff,0.18156566072092062,110
sp500_macd,0.1624053711819471,120
sp500_realized_vol_5d,0.15487540743288264,113
VIX_percentile,0.15115018725862228,112
sp500_rsi,0.13831270695800413,136
XLU_log_return,0.06014744637104741,52
T10Y2Y_diff,0.05062968535446544,68
sent_mean,0.04855634233601336,57
XLV_log_return,0.04370780201503521,63
XLB_log_return,0.042601241468673834,71
XLE_log_return,0.04073391256891057,56
sent_max_neg,0.03859070134785725,58
XLI_log_return,0.03676218749160398,37
sent_weighted,0.03383444304927252,28
sp500_log_return,0.023531707401467372,34
XLK_log_return,0.017836601971794153,37
XLF_log_return,0.016974052690784447,11
XLY_log_return,0.015095737770025153,26
XLP_log_return,0.013120689977085931,32
sent_momentum,0.004831084967008792,5
