feature,importance_gain,importance_split,regime
INDPRO_diff,0.12720750838823847,91,Bear/Crisis
CPIAUCSL_diff,0.12468116096185256,110,Bear/Crisis
VIX,0.11492607866239268,59,Bear/Crisis
sp500_realized_vol_5d,0.07526972325558745,48,Bear/Crisis
VIX_percentile,0.05615736987965647,18,Bear/Crisis
sp500_realized_vol_21d,0.04824249388234492,64,Bear/Crisis
DFF_diff,0.035180661143385805,21,Bear/Crisis
T10Y2Y,0.01730947010219097,3,Bear/Crisis
sp500_macd_hist,0.011583492523641326,9,Bear/Crisis
sp500_rsi,0.005362288997275755,4,Bear/Crisis
sp500_bb_width,0.0,0,Bear/Crisis
sp500_macd,0.0,0,Bear/Crisis
sp500_log_return,0.0,0,Bear/Crisis
XLP_log_return,0.0,0,Bear/Crisis
XLY_log_return,0.0,0,Bear/Crisis
XLV_log_return,0.0,0,Bear/Crisis
XLE_log_return,0.0,0,Bear/Crisis
XLF_log_return,0.0,0,Bear/Crisis
XLK_log_return,0.0,0,Bear/Crisis
XLU_log_return,0.0,0,Bear/Crisis
XLI_log_return,0.0,0,Bear/Crisis
T10Y2Y_diff,0.0,0,Bear/Crisis
UNRATE_diff,0.0,0,Bear/Crisis
XLB_log_return,0.0,0,Bear/Crisis
VIX_term_ratio,0.0,0,Bear/Crisis
sent_mean,0.0,0,Bear/Crisis
sent_max_neg,0.0,0,Bear/Crisis
sent_weighted,0.0,0,Bear/Crisis
sent_momentum,0.0,0,Bear/Crisis
sp500_log_return,0.0,0,Bull
sp500_realized_vol_5d,0.0,0,Bull
sp500_realized_vol_21d,0.0,0,Bull
sp500_rsi,0.0,0,Bull
sp500_macd,0.0,0,Bull
sp500_macd_hist,0.0,0,Bull
sp500_bb_width,0.0,0,Bull
XLK_log_return,0.0,0,Bull
XLF_log_return,0.0,0,Bull
XLE_log_return,0.0,0,Bull
XLV_log_return,0.0,0,Bull
XLY_log_return,0.0,0,Bull
XLP_log_return,0.0,0,Bull
XLI_log_return,0.0,0,Bull
XLB_log_return,0.0,0,Bull
XLU_log_return,0.0,0,Bull
CPIAUCSL_diff,0.0,0,Bull
UNRATE_diff,0.0,0,Bull
DFF_diff,0.0,0,Bull
INDPRO_diff,0.0,0,Bull
T10Y2Y_diff,0.0,0,Bull
T10Y2Y,0.0,0,Bull
VIX,0.0,0,Bull
VIX_percentile,0.0,0,Bull
VIX_term_ratio,0.0,0,Bull
sent_mean,0.0,0,Bull
sent_max_neg,0.0,0,Bull
sent_weighted,0.0,0,Bull
sent_momentum,0.0,0,Bull
sp500_bb_width,0.2692799453175212,106,Extreme
VIX_term_ratio,0.24980819557481482,86,Extreme
sp500_realized_vol_5d,0.22812900204959874,90,Extreme
UNRATE_diff,0.2093754115533102,92,Extreme
sp500_rsi,0.16779942378298074,64,Extreme
sp500_macd_hist,0.1587735857967516,64,Extreme
T10Y2Y,0.1509920694611715,68,Extreme
CPIAUCSL_diff,0.12864525276063432,42,Extreme
sp500_macd,0.11640994990557374,39,Extreme
sp500_realized_vol_21d,0.0871499480933835,25,Extreme
VIX_percentile,0.08079827882465906,22,Extreme
XLV_log_return,0.03723517391904352,44,Extreme
sp500_log_return,0.027597454958595335,7,Extreme
INDPRO_diff,0.02024413994513452,3,Extreme
XLI_log_return,0.016196782153613754,16,Extreme
XLK_log_return,0.011623570499182279,12,Extreme
XLF_log_return,0.011545098505507667,6,Extreme
T10Y2Y_diff,0.01122573995962739,2,Extreme
XLY_log_return,0.007611294127855217,9,Extreme
XLU_log_return,0.006445177005616642,12,Extreme
XLE_log_return,0.004901240114122629,1,Extreme
XLP_log_return,0.0,0,Extreme
XLB_log_return,0.0,0,Extreme
DFF_diff,0.0,0,Extreme
VIX,0.0,0,Extreme
sent_mean,0.0,0,Extreme
sent_max_neg,0.0,0,Extreme
sent_weighted,0.0,0,Extreme
sent_momentum,0.0,0,Extreme
sp500_log_return,0.0,0,Normal
sp500_realized_vol_5d,0.0,0,Normal
sp500_realized_vol_21d,0.0,0,Normal
sp500_rsi,0.0,0,Normal
sp500_macd,0.0,0,Normal
sp500_macd_hist,0.0,0,Normal
sp500_bb_width,0.0,0,Normal
XLK_log_return,0.0,0,Normal
XLF_log_return,0.0,0,Normal
XLE_log_return,0.0,0,Normal
XLV_log_return,0.0,0,Normal
XLY_log_return,0.0,0,Normal
XLP_log_return,0.0,0,Normal
XLI_log_return,0.0,0,Normal
XLB_log_return,0.0,0,Normal
XLU_log_return,0.0,0,Normal
CPIAUCSL_diff,0.0,0,Normal
UNRATE_diff,0.0,0,Normal
DFF_diff,0.0,0,Normal
INDPRO_diff,0.0,0,Normal
T10Y2Y_diff,0.0,0,Normal
T10Y2Y,0.0,0,Normal
VIX,0.0,0,Normal
VIX_percentile,0.0,0,Normal
VIX_term_ratio,0.0,0,Normal
sent_mean,0.0,0,Normal
sent_max_neg,0.0,0,Normal
sent_weighted,0.0,0,Normal
sent_momentum,0.0,0,Normal
