fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.00034551251883385703
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.00019139594223815948
2,2004-01-07,2004-01-08,2004-07-09,979,126,6.151707081395823e-05
3,2004-07-09,2004-07-12,2005-01-06,1105,126,6.4293260948034e-05
4,2005-01-06,2005-01-07,2005-07-08,1231,126,6.258703433559276e-05
5,2005-07-08,2005-07-11,2006-01-06,1357,126,5.050186337030027e-05
6,2006-01-06,2006-01-09,2006-07-10,1483,126,4.09302269872569e-05
7,2006-07-10,2006-07-11,2007-01-09,1609,126,5.450869684864301e-05
8,2007-01-09,2007-01-10,2007-07-11,1735,126,3.555075618351111e-05
9,2007-07-11,2007-07-12,2008-01-09,1861,126,5.043855053372681e-05
10,2008-01-09,2008-01-10,2008-07-10,1987,126,9.82690995442681e-05
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.00014361645007738845
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.0004964826366631314
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0005994851890136488
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.0005708990077740358
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.00023328864647607719
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.00011953477405768353
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.00010462580446203771
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.00016896916486075497
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0018289100917172618
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.0008361546888409066
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.00014731638475495856
22,2014-01-10,2014-01-13,2014-07-14,3499,126,7.251459788272364e-05
23,2014-07-14,2014-07-15,2015-01-12,3625,126,5.876157916241532e-05
24,2015-01-12,2015-01-13,2015-07-14,3751,126,5.449673537643523e-05
25,2015-07-14,2015-07-15,2016-01-12,3877,126,5.9552697348408404e-05
26,2016-01-12,2016-01-13,2016-07-13,4003,126,7.61851821152959e-05
27,2016-07-13,2016-07-14,2017-01-11,4129,126,8.281494083348662e-05
28,2017-01-11,2017-01-12,2017-07-13,4255,126,8.043571506277658e-05
29,2017-07-13,2017-07-14,2018-01-11,4381,126,7.48189628542274e-05
30,2018-01-11,2018-01-12,2018-07-13,4507,126,5.998089876480993e-05
31,2018-07-13,2018-07-16,2019-01-14,4633,126,6.120605146200184e-05
32,2019-01-14,2019-01-15,2019-07-16,4759,126,7.508679376163248e-05
33,2019-07-16,2019-07-17,2020-01-14,4885,126,6.24421167382631e-05
34,2020-01-14,2020-01-15,2020-07-15,5011,126,6.546051387582945e-05
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.00018740635347897367
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.00022277765898392178
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.00019256262273232167
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.00020281127343388597
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.00020881612571039504
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.0002312494878944043
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.0002393494817494814
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.00013552345189964398
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.0003970984209445305
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.00011267103933884451
45,2025-07-22,2025-07-23,2025-12-29,6397,111,0.00013086304849518153
