sentiment_feature,target,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,pearson_lag1d,pearson_lag5d,pearson_lag10d
sent_mean,fwd_return_1d,-0.0305,0.201,-0.0418,0.0798,1754,-0.0375,0.0011,-0.0043
sent_mean,fwd_return_5d,-0.0387,0.1055,-0.0437,0.0673,1754,-0.0232,0.015,0.001
sent_max_neg,fwd_return_1d,-0.0431,0.071,-0.0351,0.1413,1754,-0.0281,-0.0194,-0.035
sent_max_neg,fwd_return_5d,-0.0359,0.1323,-0.0279,0.2426,1754,-0.0243,0.0076,-0.0243
sent_article_count,fwd_return_1d,0.0036,0.7731,-0.005,0.6865,6537,-0.0057,0.0062,0.0009
sent_article_count,fwd_return_5d,0.0078,0.5308,-0.0076,0.5372,6533,0.009,0.0094,0.0063
sent_weighted,fwd_return_1d,-0.0324,0.1749,-0.0352,0.1411,1754,-0.0224,-0.0033,-0.013
sent_weighted,fwd_return_5d,-0.0299,0.2108,-0.0278,0.2453,1754,-0.0156,0.0024,-0.0089
sent_momentum,fwd_return_1d,-0.0273,0.2534,-0.0295,0.2166,1754,-0.0366,-0.0066,-0.0076
sent_momentum,fwd_return_5d,-0.0187,0.4349,-0.0286,0.2317,1754,-0.0085,0.0192,0.0296
